
region_id,preferred_label_en,preferred_label_jp,broader_region_id,region_type,scope_note,use_when,do_not_use_when,example_original_terms,observed_in_tagged_v03_count,notes
GLOBAL,Global / Worldwide,全世界,,scale,"Worldwide, cross-regional, or international-system-level geographic scale.","Use for worldwide, cross-regional, or international-system-level records when no specific geographic region is primary.",Do not use merely because an international organization such as the UN or ICJ appears; store organizations in organization_ids.,世界;各国;諸外国;world;foreign countries;worldwide opinion,0,UN and ICJ should be handled with organization_ids. Use GLOBAL only when the record's geographic scale is worldwide or cross-regional.
AFRICA,Africa,アフリカ,,continent,"African continent and African countries or territories, including colonial and pre-independence territories.","Use for Africa/African countries/territories, China-Africa files, Afro-Asian records, or records framing North African states as part of Africa.","Do not use only because a country has African diaspora relevance; for Middle East framing of Egypt, use MIDEAST and possibly NORTH_AFRICA.",アフリカ;アフリカ諸国;中近東アフリカ諸国;Africa;African countries,22,Use with african_independence_dates.csv to judge whether countries were independent at the record date.
NORTH_AFRICA,North Africa,北アフリカ,AFRICA,subregion,"Northern African states and territories such as Egypt, Libya, Tunisia, Algeria, Morocco, and sometimes Sudan depending on source framing.",Use when a record specifically concerns North African countries or when Egypt/Libya/Algeria appear in Middle East-North Africa contexts.,Do not use for all Africa records automatically.,北アフリカ;エジプト;リビア;アルジェリア;チュニジア;モロッコ,0,Can be combined with MIDEAST for Arab-Israeli or Middle East conflict records.
SUBSAHARAN_AFRICA,Sub-Saharan Africa,サハラ以南アフリカ,AFRICA,subregion,"Africa south of the Sahara, especially when distinguished from North Africa.",Use when the record explicitly distinguishes sub-Saharan Africa or concerns countries south of the Sahara as a region.,Do not apply automatically to every African country; use AFRICA for broader records.,サハラ以南;ブラック・アフリカ;熱帯アフリカ;Sub-Saharan Africa,0,Historical Japanese terms such as ブラック・アフリカ require caution and should be preserved in original_terms.
SOUTHERN_AFRICA,Southern Africa,南部アフリカ,AFRICA,subregion,"Southern African region including South Africa, Namibia/South West Africa, Angola, Mozambique, Rhodesia/Zimbabwe, Zambia, etc. depending on context.","Use for apartheid, Namibia/South West Africa, Rhodesia/Zimbabwe, Angola/Mozambique liberation, and southern African conflict/decolonization contexts.",Do not use for South Africa alone unless the record frames it regionally.,南部アフリカ;南阿連邦;南西アフリカ;ローデシア;アンゴラ;モザンビーク,0,Useful with political_status_at_time and historical_area_ids.
MIDEAST,Middle East / Near East,中東・中近東,,macroregion,"Middle Eastern or Near Eastern region, including West Asia and sometimes Egypt/North Africa when the source frames them as Middle Eastern.","Use for 中東, 中近東, 近東, Arab-Israeli conflict, Lebanon, Gulf states, Iran-Iraq conflict, and Middle East question files.",Do not use for all Muslim-majority countries automatically; use the source framing.,中東;中近東;近東;中東問題;中近東アフリカ諸国;Middle East;Near East,26,Egypt may be MIDEAST;NORTH_AFRICA rather than AFRICA when the file is about Middle East conflict.
ASIA,Asia,アジア,,continent/macroregion,Broad Asia-related records or Asian countries collectively.,"Use for Asia-wide records, Asian countries as a group, and Afro-Asian conference records.",Do not use as the only region when a narrower subregion is clearly the main subject.,アジア;アジア諸国;中国・アジア諸国;Asia;Asian countries,31,Often combined with AFRICA for Asian-African Conference records.
EAST_ASIA,East Asia,東アジア,ASIA,subregion,"East Asian countries and political entities, especially China, Japan, Korea, Taiwan, and Mongolia.","Use for China, Japan, Korea, Taiwan, Mongolia, and East Asian diplomacy when regionally framed.",Do not use merely because PRC/ROC appears in a global UN record unless East Asia is a meaningful geographic dimension.,東アジア;極東;中国;日本;韓国;北朝鮮;台湾;モンゴル;Far East,0,Preserve original terms such as 中国 separately; entity interpretation belongs in interpreted_entity_ids.
SOUTHEAST_ASIA,Southeast Asia,東南アジア,ASIA,subregion,Southeast Asian countries and regional diplomacy.,"Use for Indonesia, Burma/Myanmar, Thailand, Laos, Cambodia, Vietnam, Malaysia, Singapore, Philippines, ASEAN, and Bandung host context if needed.",Do not use for all Afro-Asian records unless Southeast Asia is specifically relevant.,東南アジア;南東アジア;インドネシア;ビルマ;タイ;ラオス;カンボディア;ヴィエトナム;ASEAN,0,Useful for PRG/Vietnam UN participation files and Bandung/Indonesia-centered files.
SOUTH_ASIA,South Asia,南アジア,ASIA,subregion,South Asian countries and regional diplomacy.,"Use for India, Pakistan, Ceylon/Sri Lanka, Nepal, Afghanistan, and South Asian positions in Bandung or UN diplomacy.",Do not use for Middle East or Southeast Asia records.,南アジア;インド;パキスタン;セイロン;ネパール;アフガニスタン,0,Afghanistan may be SOUTH_ASIA in older diplomatic groupings depending on source framing.
ASIA_PACIFIC,Asia-Pacific,アジア太平洋,,macroregion,Asia-Pacific regional diplomacy and Pacific-facing diplomatic/security records.,"Use for explicit Asia-Pacific or Pacific regional framing, including Asia-Pacific overseas mission chiefs meetings.",Do not use for all Asia records.,アジア太平洋;アジア・太平洋;太平洋;Pacific;Asia-Pacific,4,May include Australia and New Zealand in Pacific-oriented diplomatic groupings.
OCEANIA,Oceania / Pacific,オセアニア・太平洋,,region,Oceania and Pacific island or Australasian regional context.,"Use for Australia, New Zealand, Pacific island states, or Oceania-specific records.",Do not use when Australia/New Zealand appear only as members of a wider Asia-Pacific or Commonwealth grouping unless regionally relevant.,オーストラリア;ニュー・ジーランド;太平洋諸国;Oceania;Pacific,0,ASIA_PACIFIC may be better for Japan-centered regional diplomacy.
AFRO_ASIA,Afro-Asia / Asian-African World,アジア・アフリカ,,geopolitical/diplomatic region,Cold War Afro-Asian political and diplomatic space.,"Use for Bandung, Asian-African Conference, AAPSO, Afro-Asian solidarity, and Asia-Africa diplomatic framing.",Do not use merely because one Asian and one African country appear without Afro-Asian framing.,アジア・アフリカ;アジア・アフリカ諸国;Afro-Asian;Asian-African,5,A geopolitical/diplomatic region rather than a physical region.
EUROPE,Europe,欧州・ヨーロッパ,,continent/macroregion,European countries and European diplomacy broadly.,Use for Europe-wide records or European states when the file is regionally framed.,Do not use for every mention of France/UK/Germany if Europe is not a meaningful subject.,欧州;ヨーロッパ;Europe;西欧;東欧,0,Use WESTERN_EUROPE or EASTERN_EUROPE when the source distinguishes them.
WESTERN_EUROPE,Western Europe,西欧,EUROPE,subregion,"Western European countries and regional diplomacy, especially EC/NATO-era Western Europe.","Use for 西欧, EC, France, UK, Italy, Spain, Benelux, West Germany in Western European diplomatic grouping.",Do not use for all Europe records; use only when western European framing is explicit.,西欧;EC;フランス;イギリス;イタリア;スペイン;西独,0,"For West German diplomacy, region_ids may be EUROPE;WESTERN_EUROPE."
EASTERN_EUROPE,Eastern Europe,東欧,EUROPE,subregion,"Eastern European countries, especially Cold War-era socialist Eastern Europe excluding or including USSR depending on source wording.","Use for 東欧, ソ連東欧諸国, Czechoslovakia, Poland, Hungary, Yugoslavia, Bulgaria, Albania, etc. when regionally framed.",Do not use for SOCIALIST_BLOC as a political bloc without geographic East Europe relevance; that belongs in bloc_ids.,東欧;ソ連東欧諸国;チェコ;ポーランド;ハンガリー;ユーゴスラヴィア;ブルガリア;アルバニア,0,"SOCIALIST_BLOC should be a bloc_id, not a region_id."
AMERICAS,Americas,米州,,macroregion,"North, Central, South America and Caribbean countries when grouped as the Americas.","Use for 米州, Western Hemisphere, or records grouping Canada, US, Latin America, and Caribbean countries.",Do not use if the file is specifically about the United States; use NORTH_AMERICA then.,米州;アメリカ州;カナダ;メキシコ;ブラジル;ペルー;ウルグアイ;Western Hemisphere,0,Useful for ICJ election regional vote files.
NORTH_AMERICA,North America,北米,AMERICAS,subregion,"North American region, especially United States and Canada in Japan's North America Bureau contexts.","Use for US politics, Japan-US relations, Canada, or North America-centered records.",Do not use for Latin America or all Western Hemisphere records.,北米;米国;カナダ;日米関係;United States;Canada;North America,0,"For 米国政治 files, region_ids should be NORTH_AMERICA even when foreign-policy sections cover other regions."
LATIN_AMERICA,Latin America,ラテンアメリカ・中南米,AMERICAS,subregion,"Latin American countries, including Central and South America and sometimes the Caribbean depending on source framing.","Use for 中南米, Latin America, and records involving Nicaragua, El Salvador, Brazil, Peru, Uruguay, Paraguay, Argentina etc. in regional context.",Do not use for United States/Canada-centered records unless Latin America is a substantive subject.,中南米;ラテンアメリカ;ニカラグア;エルサルバドル;ブラジル;ペルー;ウルグアイ;アルゼンティン,0,CENTRAL_AMERICA may be added when Nicaragua/El Salvador are specifically central.
CENTRAL_AMERICA,Central America,中米,LATIN_AMERICA,subregion,Central American countries and conflicts.,"Use for Nicaragua, El Salvador, Guatemala, Honduras, Costa Rica, Panama, Belize, or Central America as a diplomatic/security region.",Do not use for Latin America broadly unless Central America is specifically highlighted.,中米;ニカラグア;エルサルバドル;米国中米特使;Central America,0,Useful for US politics/foreign policy files involving Nicaragua and El Salvador.
CARIBBEAN,Caribbean,カリブ海地域,LATIN_AMERICA,subregion,Caribbean countries and territories.,"Use for Caribbean island states and territories, especially in Latin American voting/attitude files.",Do not use for all Latin America records.,カリブ;カリブ海;ドミニカ;ハイチ;キューバ;Caribbean;West Indies,0,Can be combined with LATIN_AMERICA.

"record_id","mofa_material_id","source_url","legacy_archive_id","legacy_record_id","volume","title_jp","title_en","release_status","years","primary_subject_jp","primary_subject_en","region_ids","reaction_region_ids","entity_ids","organization_ids","related_organization_ids","event_ids","bloc_ids","keyword_ids","analytical_context_ids","entity_review_required","source_verified_note"
"mofa_100_030351","100-030351","https://da.mofa.go.jp/material-detail?id=100-030351","A'.2.4.1.C(C)1-1","legacy_a_2_4_1_c_c_1_1_vol1","1","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第1巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 1)","Partially Open","","","","ASIA;AFRICA","","PRC;ALB","","","","","","","","Resolved from MOFA API bunruiNo search using corrected classification A'.2.4.1.C(C)1-1 on 2026-06-25. Original local archive_id had an extra parenthesis and combined Vols. 1-2."
"mofa_100_030352","100-030352","https://da.mofa.go.jp/material-detail?id=100-030352","A'.2.4.1.C(C)1-1","legacy_a_2_4_1_c_c_1_1_vol2","2","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第2巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 2)","Partially Open","","","","ASIA;AFRICA","","PRC;ALB","","","","","","","","Resolved from MOFA API bunruiNo search using corrected classification A'.2.4.1.C(C)1-1 on 2026-06-25. Original local archive_id had an extra parenthesis and combined Vols. 1-2."
"mofa_100_050045","100-050045","https://da.mofa.go.jp/material-detail?id=100-050045","A'.2.4.2.U1-5-4-5","legacy_a_2_4_2_u1_5_4_5","","ニクソン大統領中華人民共和国訪問 諸外国の態度及び新聞論調 中近東アフリカ諸国","President Nixon's Visit to the PRC: Reactions and Press Commentary in the Middle East and Africa","Access Review Required","","","","MIDEAST;AFRICA","","USA;PRC","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_023435","100-023435","https://da.mofa.go.jp/material-detail?id=100-023435","A'.7.1.0.10-3","legacy_a_7_1_0_10_3_vol2","2","コンゴー動乱 諸外国の態度（第二巻）","The Congo Crisis: Reactions of Foreign Countries (Vol. 2)","Access Review Required","","","","AFRICA","","COD","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_050902","100-050902","https://da.mofa.go.jp/material-detail?id=100-050902","B'.2.5.0.1-1","legacy_b_2_5_0_1_1_vol7","7","国際司法裁判所関係一件 裁判官選挙関係（第七巻）","Records Relating to the International Court of Justice: Judicial Elections (Vol. 7)","Partially Open","","国際司法裁判所：裁判官選挙関係","International Court of Justice: Judicial Elections","GLOBAL","AFRO_ASIA;ASIA;AFRICA;MIDEAST;EUROPE;AMERICAS","","ICJ;UN;UNSC","","","SOCIALIST_BLOC","ICJ;DIP;UN;JUDICIAL_ELECTIONS;INTERNATIONAL_ORGANIZATION_ELECTIONS","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_013436","100-013436","https://da.mofa.go.jp/material-detail?id=100-013436","B'.6.1.0.24","legacy_b_6_1_0_24_vol1","1","アジア・アフリカ会議関係一件（第一巻）","Records Relating to the Asian-African Conference (Vol. 1)","Access Review Required","1954-1960","アジア・アフリカ会議：会議関係文書および連絡官任命関係","Asian-African Conference: Conference Records and Liaison Officer Appointments","ASIA;AFRICA;AFRO_ASIA;SOUTHEAST_ASIA;SOUTH_ASIA;MIDEAST","","JPN;PAK;LKA;IND;THA;PRC;LAO;LBY;AFG;IRN;DRV;IRQ;NPL;LBR;IDN","","LAS;AA_CONF_JOINT_SECRETARIAT;INDONESIA_MFA;INDONESIA_CONSULATE_GENERAL_TOKYO","BANDUNG_1955","","AFRO_ASIAN_CONF;BANDUNG_CONFERENCE;CONFERENCE_DIPLOMACY;POST_CONFERENCE_FOLLOW_UP;CONFERENCE_FOLLOW_UP_MECHANISM;DIPLOMATIC_LIAISON;LIAISON_OFFICER_APPOINTMENT;DECOL;THIRD_WORLD;PAN_AFRICAN","DECOLONIZATION_AND_UN_DIPLOMACY;COLD_WAR_IN_SOUTHEAST_ASIA","DRV_HISTORICAL_STATE;CEYLON_HISTORICAL_NAME","Updated on 2026-06-25 using user-provided MOFA table of contents and JACAR detail metadata. Record covers general and conference files for the Asian-African Conference and liaison officer appointment files for Japan, Pakistan, Ceylon, India, Thailand, PRC, Laos, Libya, Afghanistan, Iran, Democratic Republic of Vietnam, Iraq, Nepal, and Liberia. Date range updated to 1954-11-01 to 1960-11-30 from user-provided metadata. JACAR parent/detail reference supplied by user: B22010342700; pasted detail includes item-level references including B22010343000-B22010344700. Recurring creators/organizations visible in the JACAR metadata include the League of Arab States Secretariat General, Consulate-General of the Republic of Indonesia in Tokyo, Ministry of Foreign Affairs of the Republic of Indonesia, and the Joint Secretariat of the Asian-African Conference."
"mofa_100_013440","100-013440","https://da.mofa.go.jp/material-detail?id=100-013440","B'.6.1.0.24-1-1","legacy_b_6_1_0_24_1_1_vol2","2","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）","Records Relating to the Asian-African Conference: Japan's Position and Reference Materials (Vol. 2)","Open","","アジア・アフリカ会議：日本の態度と安全保障関係参考資料","Asian-African Conference: Japanese Position and Security Reference Materials","AFRO_ASIA;ASIA;AFRICA","","JPN;PRC","","SEATO","BANDUNG_1955","","BANDUNG_CONFERENCE;JAPANESE_POSITION;POLICY_PREPARATION;SECURITY;MILITARY;NUCLEAR_ISSUES;PRC_POSITION_ON_NUCLEAR_ISSUES","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA;US_ALLIANCE_SYSTEM_IN_ASIA","","Resolved by corrected bunruiNo B'.6.1.0.24-1-1 and volume title from MOFA API on 2026-06-25. Original local archive_id lacked a period after B'."
"mofa_100_013444","100-013444","https://da.mofa.go.jp/material-detail?id=100-013444","B'.6.1.0.24-2","legacy_b_6_1_0_24_2_vol1","1","アジア・アフリカ会議関係一件　諸外国の態度　第1巻","Records Relating to the Asian-African Conference: Positions of Foreign Countries (Vol. 1)","Partially Open","","アジア・アフリカ会議：諸外国の態度とカシミール・プリンセス号事件","Asian-African Conference: Foreign Positions and the Kashmir Princess Incident","ASIA;AFRICA;MIDEAST;AFRO_ASIA;SOUTHEAST_ASIA","","PRC;ROC;IDN;IND;PAK;USA","","","BANDUNG_1955;KASHMIR_PRINCESS_INCIDENT_1955","","BANDUNG_CONFERENCE;FOREIGN_GOVERNMENT_ATTITUDES;GOVERNMENT_REACTIONS;PRC_ROC_COMPETITION;CONFERENCE_DIPLOMACY;SECURITY","","","User verified on current MOFA Diplomatic Archives web search system; material id added 2026-06-25."
"mofa_100_013459","100-013459","https://da.mofa.go.jp/material-detail?id=100-013459","B'.6.1.0.25-7","legacy_b_6_1_0_25_7","","第二回アジア・アフリカ会議関係 各国の参加状況","Second Asian-African Conference: Participation of Individual Countries","Partially Open","","第二回アジア・アフリカ会議：参加状況・招請・中台承認競争","Planned Second Asian-African Conference: Participation, Invitations, and PRC-ROC Recognition Competition","AFRO_ASIA;ASIA;AFRICA;MIDEAST;SOUTHEAST_ASIA","","PRC;ROC;IDN;IND;USA","","","SECOND_AA_CONF_1965_PLANNED","","SECOND_AFRO_ASIAN_CONFERENCE;PARTICIPATION;INVITATION;PARTICIPATION_INTENTION;CONFERENCE_DIPLOMACY;PRC_ROC_COMPETITION;REC;THIRD_WORLD;PAN_AFRICAN","DECOLONIZATION_AND_UN_DIPLOMACY;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION;THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","AR_ENTITY_AMBIGUOUS;I_ENTITY_AMBIGUOUS;IV_ENTITY_AMBIGUOUS;TZ_ENTITY_AMBIGUOUS;ARAB_UNION_ENTITY_AMBIGUOUS;CONGO_ENTITY_AMBIGUOUS;VIETNAM_ENTITY_AMBIGUOUS","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_051612","100-051612","https://da.mofa.go.jp/material-detail?id=100-051612","C'.1.1.0.1","legacy_c_1_1_0_1","","各国兵役関係雑件","Miscellaneous Records on Military Service in Various Countries","Partially Open","","","","ASIA;MIDEAST;AFRICA","","PRC;ROC;IRN;MAR;EGY;ZAF;TUR","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_112015","100-112015","https://da.mofa.go.jp/material-detail?id=100-112015","C'.4.2.0.1","legacy_c_4_2_0_1_vol2","2","各国兵器関係（第二巻）","Weapons and Armaments in Various Countries (Vol. 2)","Partially Open","","","","ASIA_PACIFIC;MIDEAST;AFRICA","","AUS;SGP;PRC;THA;NZL;IND;IDN;SYR;TUR;ISR;EGY;KEN","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_000928","100-000928","https://da.mofa.go.jp/material-detail?id=100-000928","M'.3.1.7.8-2-4","legacy_m_3_1_7_8_2_4_vol1","1","在外公館長会議関係 アジア、太平洋地域公館公館長会議 第四回（第一巻）","Meetings of Chiefs of Overseas Missions: Fourth Meeting of Chiefs of Missions in the Asia-Pacific Region (Vol. 1)","Open","","","","ASIA_PACIFIC","","JPN","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
