"file_name","source_file","description","row_count","size_bytes"
"public_records.csv","public_records_v01.csv","One row per public archival record","77","40295"
"record_tags.csv","record_tags_v01.csv","Many-to-many record/tag table","622","35506"
"public_tag_labels.csv","public_tag_labels_v06.csv","Public tag labels used by the website","206","23689"
"public_search_index.csv","public_search_index_v01.csv","One-row search index used by the website","77","136567"
"review_flags.csv","review_flags_v01.csv","Open review flags for ambiguous or historical entities","14","1414"
"controlled_vocabulary_regions.csv","controlled_vocabulary_regions_v02.csv","Controlled vocabulary for regions","21","11165"
"controlled_vocabulary_entities.csv","controlled_vocabulary_entities_v08.csv","Controlled vocabulary for entities","84","19376"
"controlled_vocabulary_organizations.csv","controlled_vocabulary_organizations_v08.csv","Controlled vocabulary for organizations","19","7695"
"controlled_vocabulary_events.csv","controlled_vocabulary_events_v12.csv","Controlled vocabulary for events","12","15512"
"controlled_vocabulary_blocs.csv","controlled_vocabulary_blocs_v02.csv","Controlled vocabulary for blocs","13","11245"
"controlled_vocabulary_keywords.csv","controlled_vocabulary_keywords_v17.csv","Controlled vocabulary for keywords","112","34002"
"controlled_vocabulary_analytical_contexts.csv","controlled_vocabulary_analytical_contexts_v05.csv","Controlled vocabulary for analytical contexts","13","9266"
