"record_id","mofa_material_id","source_url","legacy_archive_id","title_jp","title_en","release_status","years","primary_subject_jp","primary_subject_en","region_labels_en","region_labels_jp","reaction_region_labels_en","reaction_region_labels_jp","entity_labels_en","entity_labels_jp","organization_labels_en","organization_labels_jp","related_organization_labels_en","related_organization_labels_jp","event_labels_en","event_labels_jp","bloc_labels_en","bloc_labels_jp","keyword_labels_en","keyword_labels_jp","analytical_context_labels_en","analytical_context_labels_jp","search_text_jp","search_text_en","search_text_all"
"mofa_100_030351","100-030351","https://da.mofa.go.jp/material-detail?id=100-030351","A'.2.4.1.C(C)1-1","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第1巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 1)","Partially Open","","","","Africa; Asia","アフリカ; アジア","","","Albania; People's Republic of China","アルバニア; 中華人民共和国","","","","","","","","","","","","","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第1巻; アフリカ; アジア; アルバニア; 中華人民共和国; A'.2.4.1.C(C)1-1; 100-030351","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 1); Africa; Asia; Albania; People's Republic of China; A'.2.4.1.C(C)1-1; 100-030351","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第1巻; アフリカ; アジア; アルバニア; 中華人民共和国; A'.2.4.1.C(C)1-1; 100-030351; Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 1); Africa; Asia; Albania; People's Republic of China; A'.2.4.1.C(C)1-1; 100-030351; ASIA;AFRICA; PRC;ALB"
"mofa_100_030352","100-030352","https://da.mofa.go.jp/material-detail?id=100-030352","A'.2.4.1.C(C)1-1","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第2巻","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 2)","Partially Open","","","","Africa; Asia","アフリカ; アジア","","","Albania; People's Republic of China","アルバニア; 中華人民共和国","","","","","","","","","","","","","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第2巻; アフリカ; アジア; アルバニア; 中華人民共和国; A'.2.4.1.C(C)1-1; 100-030352","Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 2); Africa; Asia; Albania; People's Republic of China; A'.2.4.1.C(C)1-1; 100-030352","中共要人諸外国訪問　周恩来首相アジア・アフリカ諸国及びアルバニア訪問　第2巻; アフリカ; アジア; アルバニア; 中華人民共和国; A'.2.4.1.C(C)1-1; 100-030352; Premier Zhou Enlai's Visits to Asian and African Countries and Albania (Vol. 2); Africa; Asia; Albania; People's Republic of China; A'.2.4.1.C(C)1-1; 100-030352; ASIA;AFRICA; PRC;ALB"
"mofa_100_050045","100-050045","https://da.mofa.go.jp/material-detail?id=100-050045","A'.2.4.2.U1-5-4-5","ニクソン大統領中華人民共和国訪問 諸外国の態度及び新聞論調 中近東アフリカ諸国","President Nixon's Visit to the PRC: Reactions and Press Commentary in the Middle East and Africa","Access Review Required","","","","Africa; Middle East / Near East","アフリカ; 中東・中近東","","","People's Republic of China; United States","中華人民共和国; 米国","","","","","","","","","","","","","ニクソン大統領中華人民共和国訪問 諸外国の態度及び新聞論調 中近東アフリカ諸国; アフリカ; 中東・中近東; 中華人民共和国; 米国; A'.2.4.2.U1-5-4-5; 100-050045","President Nixon's Visit to the PRC: Reactions and Press Commentary in the Middle East and Africa; Africa; Middle East / Near East; People's Republic of China; United States; A'.2.4.2.U1-5-4-5; 100-050045","ニクソン大統領中華人民共和国訪問 諸外国の態度及び新聞論調 中近東アフリカ諸国; アフリカ; 中東・中近東; 中華人民共和国; 米国; A'.2.4.2.U1-5-4-5; 100-050045; President Nixon's Visit to the PRC: Reactions and Press Commentary in the Middle East and Africa; Africa; Middle East / Near East; People's Republic of China; United States; A'.2.4.2.U1-5-4-5; 100-050045; MIDEAST;AFRICA; USA;PRC"
"mofa_100_023435","100-023435","https://da.mofa.go.jp/material-detail?id=100-023435","A'.7.1.0.10-3","コンゴー動乱 諸外国の態度（第二巻）","The Congo Crisis: Reactions of Foreign Countries (Vol. 2)","Access Review Required","","","","Africa","アフリカ","","","Democratic Republic of the Congo / Zaire","コンゴ民主共和国／ザイール","","","","","","","","","","","","","コンゴー動乱 諸外国の態度（第二巻）; アフリカ; コンゴ民主共和国／ザイール; A'.7.1.0.10-3; 100-023435","The Congo Crisis: Reactions of Foreign Countries (Vol. 2); Africa; Democratic Republic of the Congo / Zaire; A'.7.1.0.10-3; 100-023435","コンゴー動乱 諸外国の態度（第二巻）; アフリカ; コンゴ民主共和国／ザイール; A'.7.1.0.10-3; 100-023435; The Congo Crisis: Reactions of Foreign Countries (Vol. 2); Africa; Democratic Republic of the Congo / Zaire; A'.7.1.0.10-3; 100-023435; AFRICA; COD"
"mofa_100_050902","100-050902","https://da.mofa.go.jp/material-detail?id=100-050902","B'.2.5.0.1-1","国際司法裁判所関係一件 裁判官選挙関係（第七巻）","Records Relating to the International Court of Justice: Judicial Elections (Vol. 7)","Partially Open","","国際司法裁判所：裁判官選挙関係","International Court of Justice: Judicial Elections","Global / Worldwide","全世界","Africa; Afro-Asia / Asian-African World; Americas; Asia; Europe; Middle East / Near East","アフリカ; アジア・アフリカ; 米州; アジア; 欧州・ヨーロッパ; 中東・中近東","","","International Court of Justice; United Nations; United Nations Security Council","国際司法裁判所; 国際連合／国連; 国連安全保障理事会","","","","","Socialist Bloc / Socialist Camp","社会主義圏／社会主義陣営","Diplomacy; International Court of Justice; International Organization Elections; Judicial Elections; United Nations","外交; 国際司法裁判所; 国際機関選挙; 裁判官選挙; 国連","","","国際司法裁判所関係一件 裁判官選挙関係（第七巻）; 国際司法裁判所：裁判官選挙関係; 全世界; アフリカ; アジア・アフリカ; 米州; アジア; 欧州・ヨーロッパ; 中東・中近東; 国際司法裁判所; 国際連合／国連; 国連安全保障理事会; 社会主義圏／社会主義陣営; 外交; 国際司法裁判所; 国際機関選挙; 裁判官選挙; 国連; B'.2.5.0.1-1; 100-050902","Records Relating to the International Court of Justice: Judicial Elections (Vol. 7); International Court of Justice: Judicial Elections; Global / Worldwide; Africa; Afro-Asia / Asian-African World; Americas; Asia; Europe; Middle East / Near East; International Court of Justice; United Nations; United Nations Security Council; Socialist Bloc / Socialist Camp; Diplomacy; International Court of Justice; International Organization Elections; Judicial Elections; United Nations; B'.2.5.0.1-1; 100-050902","国際司法裁判所関係一件 裁判官選挙関係（第七巻）; 国際司法裁判所：裁判官選挙関係; 全世界; アフリカ; アジア・アフリカ; 米州; アジア; 欧州・ヨーロッパ; 中東・中近東; 国際司法裁判所; 国際連合／国連; 国連安全保障理事会; 社会主義圏／社会主義陣営; 外交; 国際司法裁判所; 国際機関選挙; 裁判官選挙; 国連; B'.2.5.0.1-1; 100-050902; Records Relating to the International Court of Justice: Judicial Elections (Vol. 7); International Court of Justice: Judicial Elections; Global / Worldwide; Africa; Afro-Asia / Asian-African World; Americas; Asia; Europe; Middle East / Near East; International Court of Justice; United Nations; United Nations Security Council; Socialist Bloc / Socialist Camp; Diplomacy; International Court of Justice; International Organization Elections; Judicial Elections; United Nations; B'.2.5.0.1-1; 100-050902; GLOBAL; AFRO_ASIA;ASIA;AFRICA;MIDEAST;EUROPE;AMERICAS; ICJ;UN;UNSC; SOCIALIST_BLOC; ICJ;DIP;UN;JUDICIAL_ELECTIONS;INTERNATIONAL_ORGANIZATION_ELECTIONS"
"mofa_100_013436","100-013436","https://da.mofa.go.jp/material-detail?id=100-013436","B'.6.1.0.24","アジア・アフリカ会議関係一件（第一巻）","Records Relating to the Asian-African Conference (Vol. 1)","Access Review Required","1954-1960","アジア・アフリカ会議：会議関係文書および連絡官任命関係","Asian-African Conference: Conference Records and Liaison Officer Appointments","Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; South Asia; Southeast Asia","アフリカ; アジア・アフリカ; アジア; 中東・中近東; 南アジア; 東南アジア","","","Afghanistan; Democratic Republic of Vietnam / North Vietnam; Indonesia; India; Iran; Iraq; Japan; Laos; Liberia; Libya; Ceylon / Sri Lanka; Nepal; Pakistan; People's Republic of China; Thailand","アフガニスタン; ヴィエトナム民主共和国／北ベトナム; インドネシア; インド; イラン; イラク; 日本; ラオス; リベリア; リビア; セイロン／スリランカ; ネパール; パキスタン; 中華人民共和国; タイ","","","Joint Secretariat of the Asian-African Conference; Consulate-General of the Republic of Indonesia in Tokyo; Ministry of Foreign Affairs of the Republic of Indonesia; League of Arab States","アジア・アフリカ会議合同事務局; 在東京インドネシア共和国総領事館; インドネシア共和国外務省; アラブ連盟","Asian-African Conference (Bandung Conference)","アジア・アフリカ会議（バンドン会議）","","","Asian-African Conference; Bandung Conference; Conference Diplomacy; Conference Follow-up Mechanism; Decolonization; Diplomatic Liaison; Liaison Officer Appointment; Pan-Africanism; Post-Conference Follow-up; Third World Diplomacy","アジア・アフリカ会議; バンドン会議; 会議外交; 会議後連絡体制; 脱植民地化; 外交連絡／連絡官; 連絡官任命; パン・アフリカ主義; 会議後フォローアップ; 第三世界外交","Cold War in Southeast Asia; Decolonization and UN Diplomacy","東南アジアにおける冷戦; 脱植民地化と国連外交","アジア・アフリカ会議関係一件（第一巻）; アジア・アフリカ会議：会議関係文書および連絡官任命関係; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 南アジア; 東南アジア; アフガニスタン; ヴィエトナム民主共和国／北ベトナム; インドネシア; インド; イラン; イラク; 日本; ラオス; リベリア; リビア; セイロン／スリランカ; ネパール; パキスタン; 中華人民共和国; タイ; アジア・アフリカ会議合同事務局; 在東京インドネシア共和国総領事館; インドネシア共和国外務省; アラブ連盟; アジア・アフリカ会議（バンドン会議）; アジア・アフリカ会議; バンドン会議; 会議外交; 会議後連絡体制; 脱植民地化; 外交連絡／連絡官; 連絡官任命; パン・アフリカ主義; 会議後フォローアップ; 第三世界外交; 東南アジアにおける冷戦; 脱植民地化と国連外交; B'.6.1.0.24; 100-013436","Records Relating to the Asian-African Conference (Vol. 1); Asian-African Conference: Conference Records and Liaison Officer Appointments; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; South Asia; Southeast Asia; Afghanistan; Democratic Republic of Vietnam / North Vietnam; Indonesia; India; Iran; Iraq; Japan; Laos; Liberia; Libya; Ceylon / Sri Lanka; Nepal; Pakistan; People's Republic of China; Thailand; Joint Secretariat of the Asian-African Conference; Consulate-General of the Republic of Indonesia in Tokyo; Ministry of Foreign Affairs of the Republic of Indonesia; League of Arab States; Asian-African Conference (Bandung Conference); Asian-African Conference; Bandung Conference; Conference Diplomacy; Conference Follow-up Mechanism; Decolonization; Diplomatic Liaison; Liaison Officer Appointment; Pan-Africanism; Post-Conference Follow-up; Third World Diplomacy; Cold War in Southeast Asia; Decolonization and UN Diplomacy; B'.6.1.0.24; 100-013436","アジア・アフリカ会議関係一件（第一巻）; アジア・アフリカ会議：会議関係文書および連絡官任命関係; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 南アジア; 東南アジア; アフガニスタン; ヴィエトナム民主共和国／北ベトナム; インドネシア; インド; イラン; イラク; 日本; ラオス; リベリア; リビア; セイロン／スリランカ; ネパール; パキスタン; 中華人民共和国; タイ; アジア・アフリカ会議合同事務局; 在東京インドネシア共和国総領事館; インドネシア共和国外務省; アラブ連盟; アジア・アフリカ会議（バンドン会議）; アジア・アフリカ会議; バンドン会議; 会議外交; 会議後連絡体制; 脱植民地化; 外交連絡／連絡官; 連絡官任命; パン・アフリカ主義; 会議後フォローアップ; 第三世界外交; 東南アジアにおける冷戦; 脱植民地化と国連外交; B'.6.1.0.24; 100-013436; Records Relating to the Asian-African Conference (Vol. 1); Asian-African Conference: Conference Records and Liaison Officer Appointments; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; South Asia; Southeast Asia; Afghanistan; Democratic Republic of Vietnam / North Vietnam; Indonesia; India; Iran; Iraq; Japan; Laos; Liberia; Libya; Ceylon / Sri Lanka; Nepal; Pakistan; People's Republic of China; Thailand; Joint Secretariat of the Asian-African Conference; Consulate-General of the Republic of Indonesia in Tokyo; Ministry of Foreign Affairs of the Republic of Indonesia; League of Arab States; Asian-African Conference (Bandung Conference); Asian-African Conference; Bandung Conference; Conference Diplomacy; Conference Follow-up Mechanism; Decolonization; Diplomatic Liaison; Liaison Officer Appointment; Pan-Africanism; Post-Conference Follow-up; Third World Diplomacy; Cold War in Southeast Asia; Decolonization and UN Diplomacy; B'.6.1.0.24; 100-013436; ASIA;AFRICA;AFRO_ASIA;SOUTHEAST_ASIA;SOUTH_ASIA;MIDEAST; JPN;PAK;LKA;IND;THA;PRC;LAO;LBY;AFG;IRN;DRV;IRQ;NPL;LBR;IDN; LAS;AA_CONF_JOINT_SECRETARIAT;INDONESIA_MFA;INDONESIA_CONSULATE_GENERAL_TOKYO; BANDUNG_1955; AFRO_ASIAN_CONF;BANDUNG_CONFERENCE;CONFERENCE_DIPLOMACY;POST_CONFERENCE_FOLLOW_UP;CONFERENCE_FOLLOW_UP_MECHANISM;DIPLOMATIC_LIAISON;LIAISON_OFFICER_APPOINTMENT;DECOL;THIRD_WORLD;PAN_AFRICAN; DECOLONIZATION_AND_UN_DIPLOMACY;COLD_WAR_IN_SOUTHEAST_ASIA"
"mofa_100_013440","100-013440","https://da.mofa.go.jp/material-detail?id=100-013440","B'.6.1.0.24-1-1","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）","Records Relating to the Asian-African Conference: Japan's Position and Reference Materials (Vol. 2)","Open","","アジア・アフリカ会議：日本の態度と安全保障関係参考資料","Asian-African Conference: Japanese Position and Security Reference Materials","Africa; Afro-Asia / Asian-African World; Asia","アフリカ; アジア・アフリカ; アジア","","","Japan; People's Republic of China","日本; 中華人民共和国","","","Southeast Asia Treaty Organization","東南アジア条約機構","Asian-African Conference (Bandung Conference)","アジア・アフリカ会議（バンドン会議）","","","Bandung Conference; Japanese Position; Military Affairs; Nuclear Issues; Policy Preparation; PRC Position on Nuclear Issues; Security","バンドン会議; 日本の態度／日本の立場; 軍事; 核・原子力問題; 政策準備／方針準備; 原子力問題に対する中共の態度; 安全保障","Cold War Security Architecture in Asia; Regional Security in Southeast Asia; US Alliance System in Asia","アジアにおける冷戦期安全保障構造; 東南アジアの地域安全保障; アジアにおける米国同盟体制","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）; アジア・アフリカ会議：日本の態度と安全保障関係参考資料; アフリカ; アジア・アフリカ; アジア; 日本; 中華人民共和国; 東南アジア条約機構; アジア・アフリカ会議（バンドン会議）; バンドン会議; 日本の態度／日本の立場; 軍事; 核・原子力問題; 政策準備／方針準備; 原子力問題に対する中共の態度; 安全保障; アジアにおける冷戦期安全保障構造; 東南アジアの地域安全保障; アジアにおける米国同盟体制; B'.6.1.0.24-1-1; 100-013440","Records Relating to the Asian-African Conference: Japan's Position and Reference Materials (Vol. 2); Asian-African Conference: Japanese Position and Security Reference Materials; Africa; Afro-Asia / Asian-African World; Asia; Japan; People's Republic of China; Southeast Asia Treaty Organization; Asian-African Conference (Bandung Conference); Bandung Conference; Japanese Position; Military Affairs; Nuclear Issues; Policy Preparation; PRC Position on Nuclear Issues; Security; Cold War Security Architecture in Asia; Regional Security in Southeast Asia; US Alliance System in Asia; B'.6.1.0.24-1-1; 100-013440","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）; アジア・アフリカ会議：日本の態度と安全保障関係参考資料; アフリカ; アジア・アフリカ; アジア; 日本; 中華人民共和国; 東南アジア条約機構; アジア・アフリカ会議（バンドン会議）; バンドン会議; 日本の態度／日本の立場; 軍事; 核・原子力問題; 政策準備／方針準備; 原子力問題に対する中共の態度; 安全保障; アジアにおける冷戦期安全保障構造; 東南アジアの地域安全保障; アジアにおける米国同盟体制; B'.6.1.0.24-1-1; 100-013440; Records Relating to the Asian-African Conference: Japan's Position and Reference Materials (Vol. 2); Asian-African Conference: Japanese Position and Security Reference Materials; Africa; Afro-Asia / Asian-African World; Asia; Japan; People's Republic of China; Southeast Asia Treaty Organization; Asian-African Conference (Bandung Conference); Bandung Conference; Japanese Position; Military Affairs; Nuclear Issues; Policy Preparation; PRC Position on Nuclear Issues; Security; Cold War Security Architecture in Asia; Regional Security in Southeast Asia; US Alliance System in Asia; B'.6.1.0.24-1-1; 100-013440; AFRO_ASIA;ASIA;AFRICA; JPN;PRC; SEATO; BANDUNG_1955; BANDUNG_CONFERENCE;JAPANESE_POSITION;POLICY_PREPARATION;SECURITY;MILITARY;NUCLEAR_ISSUES;PRC_POSITION_ON_NUCLEAR_ISSUES; COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA;US_ALLIANCE_SYSTEM_IN_ASIA"
"mofa_100_013444","100-013444","https://da.mofa.go.jp/material-detail?id=100-013444","B'.6.1.0.24-2","アジア・アフリカ会議関係一件　諸外国の態度　第1巻","Records Relating to the Asian-African Conference: Positions of Foreign Countries (Vol. 1)","Partially Open","","アジア・アフリカ会議：諸外国の態度とカシミール・プリンセス号事件","Asian-African Conference: Foreign Positions and the Kashmir Princess Incident","Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia","アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア","","","Indonesia; India; Pakistan; People's Republic of China; Republic of China; United States","インドネシア; インド; パキスタン; 中華人民共和国; 中華民国; 米国","","","","","Asian-African Conference (Bandung Conference); Kashmir Princess Incident","アジア・アフリカ会議（バンドン会議）; カシミール・プリンセス号事件","","","Bandung Conference; Conference Diplomacy; Foreign Government Attitudes; Government Reactions; PRC-ROC Competition; Security","バンドン会議; 会議外交; 諸外国政府の態度; 政府反応; 中華人民共和国・中華民国競合; 安全保障","","","アジア・アフリカ会議関係一件　諸外国の態度　第1巻; アジア・アフリカ会議：諸外国の態度とカシミール・プリンセス号事件; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア; インドネシア; インド; パキスタン; 中華人民共和国; 中華民国; 米国; アジア・アフリカ会議（バンドン会議）; カシミール・プリンセス号事件; バンドン会議; 会議外交; 諸外国政府の態度; 政府反応; 中華人民共和国・中華民国競合; 安全保障; B'.6.1.0.24-2; 100-013444","Records Relating to the Asian-African Conference: Positions of Foreign Countries (Vol. 1); Asian-African Conference: Foreign Positions and the Kashmir Princess Incident; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia; Indonesia; India; Pakistan; People's Republic of China; Republic of China; United States; Asian-African Conference (Bandung Conference); Kashmir Princess Incident; Bandung Conference; Conference Diplomacy; Foreign Government Attitudes; Government Reactions; PRC-ROC Competition; Security; B'.6.1.0.24-2; 100-013444","アジア・アフリカ会議関係一件　諸外国の態度　第1巻; アジア・アフリカ会議：諸外国の態度とカシミール・プリンセス号事件; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア; インドネシア; インド; パキスタン; 中華人民共和国; 中華民国; 米国; アジア・アフリカ会議（バンドン会議）; カシミール・プリンセス号事件; バンドン会議; 会議外交; 諸外国政府の態度; 政府反応; 中華人民共和国・中華民国競合; 安全保障; B'.6.1.0.24-2; 100-013444; Records Relating to the Asian-African Conference: Positions of Foreign Countries (Vol. 1); Asian-African Conference: Foreign Positions and the Kashmir Princess Incident; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia; Indonesia; India; Pakistan; People's Republic of China; Republic of China; United States; Asian-African Conference (Bandung Conference); Kashmir Princess Incident; Bandung Conference; Conference Diplomacy; Foreign Government Attitudes; Government Reactions; PRC-ROC Competition; Security; B'.6.1.0.24-2; 100-013444; ASIA;AFRICA;MIDEAST;AFRO_ASIA;SOUTHEAST_ASIA; PRC;ROC;IDN;IND;PAK;USA; BANDUNG_1955;KASHMIR_PRINCESS_INCIDENT_1955; BANDUNG_CONFERENCE;FOREIGN_GOVERNMENT_ATTITUDES;GOVERNMENT_REACTIONS;PRC_ROC_COMPETITION;CONFERENCE_DIPLOMACY;SECURITY"
"mofa_100_013459","100-013459","https://da.mofa.go.jp/material-detail?id=100-013459","B'.6.1.0.25-7","第二回アジア・アフリカ会議関係 各国の参加状況","Second Asian-African Conference: Participation of Individual Countries","Partially Open","","第二回アジア・アフリカ会議：参加状況・招請・中台承認競争","Planned Second Asian-African Conference: Participation, Invitations, and PRC-ROC Recognition Competition","Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia","アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア","","","Indonesia; India; People's Republic of China; Republic of China; United States","インドネシア; インド; 中華人民共和国; 中華民国; 米国","","","","","Planned Second Asian-African Conference (Algiers)","第二回アジア・アフリカ会議（アルジェ予定会議）","","","Conference Diplomacy; Invitation; Pan-Africanism; Participation; Participation Intention; PRC-ROC Competition; Diplomatic Recognition; Second Asian-African Conference; Third World Diplomacy","会議外交; 招請／招待; パン・アフリカ主義; 参加状況; 参加意向; 中華人民共和国・中華民国競合; 国家承認／外交承認; 第二回アジア・アフリカ会議; 第三世界外交","Decolonization and UN Diplomacy; Postcolonial States and China Representation; Third World Responses to China Representation","脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題; 第三世界の中国代表権問題への反応","第二回アジア・アフリカ会議関係 各国の参加状況; 第二回アジア・アフリカ会議：参加状況・招請・中台承認競争; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア; インドネシア; インド; 中華人民共和国; 中華民国; 米国; 第二回アジア・アフリカ会議（アルジェ予定会議）; 会議外交; 招請／招待; パン・アフリカ主義; 参加状況; 参加意向; 中華人民共和国・中華民国競合; 国家承認／外交承認; 第二回アジア・アフリカ会議; 第三世界外交; 脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題; 第三世界の中国代表権問題への反応; B'.6.1.0.25-7; 100-013459","Second Asian-African Conference: Participation of Individual Countries; Planned Second Asian-African Conference: Participation, Invitations, and PRC-ROC Recognition Competition; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia; Indonesia; India; People's Republic of China; Republic of China; United States; Planned Second Asian-African Conference (Algiers); Conference Diplomacy; Invitation; Pan-Africanism; Participation; Participation Intention; PRC-ROC Competition; Diplomatic Recognition; Second Asian-African Conference; Third World Diplomacy; Decolonization and UN Diplomacy; Postcolonial States and China Representation; Third World Responses to China Representation; B'.6.1.0.25-7; 100-013459","第二回アジア・アフリカ会議関係 各国の参加状況; 第二回アジア・アフリカ会議：参加状況・招請・中台承認競争; アフリカ; アジア・アフリカ; アジア; 中東・中近東; 東南アジア; インドネシア; インド; 中華人民共和国; 中華民国; 米国; 第二回アジア・アフリカ会議（アルジェ予定会議）; 会議外交; 招請／招待; パン・アフリカ主義; 参加状況; 参加意向; 中華人民共和国・中華民国競合; 国家承認／外交承認; 第二回アジア・アフリカ会議; 第三世界外交; 脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題; 第三世界の中国代表権問題への反応; B'.6.1.0.25-7; 100-013459; Second Asian-African Conference: Participation of Individual Countries; Planned Second Asian-African Conference: Participation, Invitations, and PRC-ROC Recognition Competition; Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Southeast Asia; Indonesia; India; People's Republic of China; Republic of China; United States; Planned Second Asian-African Conference (Algiers); Conference Diplomacy; Invitation; Pan-Africanism; Participation; Participation Intention; PRC-ROC Competition; Diplomatic Recognition; Second Asian-African Conference; Third World Diplomacy; Decolonization and UN Diplomacy; Postcolonial States and China Representation; Third World Responses to China Representation; B'.6.1.0.25-7; 100-013459; AFRO_ASIA;ASIA;AFRICA;MIDEAST;SOUTHEAST_ASIA; PRC;ROC;IDN;IND;USA; SECOND_AA_CONF_1965_PLANNED; SECOND_AFRO_ASIAN_CONFERENCE;PARTICIPATION;INVITATION;PARTICIPATION_INTENTION;CONFERENCE_DIPLOMACY;PRC_ROC_COMPETITION;REC;THIRD_WORLD;PAN_AFRICAN; DECOLONIZATION_AND_UN_DIPLOMACY;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION;THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION"
"mofa_100_051612","100-051612","https://da.mofa.go.jp/material-detail?id=100-051612","C'.1.1.0.1","各国兵役関係雑件","Miscellaneous Records on Military Service in Various Countries","Partially Open","","","","Africa; Asia; Middle East / Near East","アフリカ; アジア; 中東・中近東","","","Egypt; Iran; Morocco; People's Republic of China; Republic of China; Turkey; South Africa","エジプト; イラン; モロッコ; 中華人民共和国; 中華民国; トルコ; 南アフリカ共和国","","","","","","","","","","","","","各国兵役関係雑件; アフリカ; アジア; 中東・中近東; エジプト; イラン; モロッコ; 中華人民共和国; 中華民国; トルコ; 南アフリカ共和国; C'.1.1.0.1; 100-051612","Miscellaneous Records on Military Service in Various Countries; Africa; Asia; Middle East / Near East; Egypt; Iran; Morocco; People's Republic of China; Republic of China; Turkey; South Africa; C'.1.1.0.1; 100-051612","各国兵役関係雑件; アフリカ; アジア; 中東・中近東; エジプト; イラン; モロッコ; 中華人民共和国; 中華民国; トルコ; 南アフリカ共和国; C'.1.1.0.1; 100-051612; Miscellaneous Records on Military Service in Various Countries; Africa; Asia; Middle East / Near East; Egypt; Iran; Morocco; People's Republic of China; Republic of China; Turkey; South Africa; C'.1.1.0.1; 100-051612; ASIA;MIDEAST;AFRICA; PRC;ROC;IRN;MAR;EGY;ZAF;TUR"
