"record_id","tag_type","tag_id","source_field"
"mofa_100_000928","entity","JPN","entity_ids"
"mofa_100_000928","region","ASIA_PACIFIC","region_ids"
"mofa_100_005244","entity","PRC","entity_ids"
"mofa_100_005244","region","ASIA","region_ids"
"mofa_100_005461","organization","UN","organization_ids"
"mofa_100_005461","reaction_region","AFRICA","reaction_region_ids"
"mofa_100_005461","reaction_region","ASIA","reaction_region_ids"
"mofa_100_005461","reaction_region","EAST_ASIA","reaction_region_ids"
"mofa_100_005461","region","AFRICA","region_ids"
"mofa_100_005461","region","ASIA","region_ids"
"mofa_100_005461","region","GLOBAL","region_ids"
"mofa_100_005850","entity","JPN","entity_ids"
"mofa_100_005850","entity","KOR","entity_ids"
"mofa_100_005850","region","ASIA","region_ids"
"mofa_100_006060","organization","ECAFE","organization_ids"
"mofa_100_006060","organization","UN","organization_ids"
"mofa_100_006060","organization","WMO","organization_ids"
"mofa_100_006060","reaction_region","ASIA_PACIFIC","reaction_region_ids"
"mofa_100_006060","reaction_region","GLOBAL","reaction_region_ids"
"mofa_100_006060","reaction_region","OCEANIA","reaction_region_ids"
"mofa_100_006060","reaction_region","SOUTH_ASIA","reaction_region_ids"
"mofa_100_006060","region","ASIA","region_ids"
"mofa_100_006060","region","EAST_ASIA","region_ids"
"mofa_100_006060","region","SOUTHEAST_ASIA","region_ids"
"mofa_100_006256","entity","KHM","entity_ids"
"mofa_100_006256","region","ASIA","region_ids"
"mofa_100_006322","entity","JPN","entity_ids"
"mofa_100_006322","entity","PRC","entity_ids"
"mofa_100_006322","entity","ROC","entity_ids"
"mofa_100_006322","entity","TWN","entity_ids"
"mofa_100_006322","region","ASIA","region_ids"
"mofa_100_006324","entity","JPN","entity_ids"
"mofa_100_006324","entity","PRC","entity_ids"
"mofa_100_006324","entity","ROC","entity_ids"
"mofa_100_006324","entity","TWN","entity_ids"
"mofa_100_006324","region","ASIA","region_ids"
"mofa_100_006326","entity","JPN","entity_ids"
"mofa_100_006326","entity","PRC","entity_ids"
"mofa_100_006326","entity","TWN","entity_ids"
"mofa_100_006326","region","ASIA","region_ids"
"mofa_100_006643","entity","FRA","entity_ids"
"mofa_100_006643","entity","PRC","entity_ids"
"mofa_100_006643","entity","ROC","entity_ids"
"mofa_100_006643","entity","TWN","entity_ids"
"mofa_100_006643","region","ASIA","region_ids"
"mofa_100_006829","entity","PRC","entity_ids"
"mofa_100_006829","region","AFRICA","region_ids"
"mofa_100_006840","entity","IND","entity_ids"
"mofa_100_006840","entity","PRC","entity_ids"
"mofa_100_006840","region","ASIA","region_ids"
"mofa_100_006897","entity","CHN_AMBIG","entity_ids"
"mofa_100_006897","entity","JPN","entity_ids"
"mofa_100_006897","entity","PRC","entity_ids"
"mofa_100_006897","region","ASIA","region_ids"
"mofa_100_013436","analytical_context","COLD_WAR_IN_SOUTHEAST_ASIA","analytical_context_ids"
"mofa_100_013436","analytical_context","DECOLONIZATION_AND_UN_DIPLOMACY","analytical_context_ids"
"mofa_100_013436","entity","AFG","entity_ids"
"mofa_100_013436","entity","DRV","entity_ids"
"mofa_100_013436","entity","IDN","entity_ids"
"mofa_100_013436","entity","IND","entity_ids"
"mofa_100_013436","entity","IRN","entity_ids"
"mofa_100_013436","entity","IRQ","entity_ids"
"mofa_100_013436","entity","JPN","entity_ids"
"mofa_100_013436","entity","LAO","entity_ids"
"mofa_100_013436","entity","LBR","entity_ids"
"mofa_100_013436","entity","LBY","entity_ids"
"mofa_100_013436","entity","LKA","entity_ids"
"mofa_100_013436","entity","NPL","entity_ids"
"mofa_100_013436","entity","PAK","entity_ids"
"mofa_100_013436","entity","PRC","entity_ids"
"mofa_100_013436","entity","THA","entity_ids"
"mofa_100_013436","event","BANDUNG_1955","event_ids"
"mofa_100_013436","keyword","AFRO_ASIAN_CONF","keyword_ids"
"mofa_100_013436","keyword","BANDUNG_CONFERENCE","keyword_ids"
"mofa_100_013436","keyword","CONFERENCE_DIPLOMACY","keyword_ids"
"mofa_100_013436","keyword","CONFERENCE_FOLLOW_UP_MECHANISM","keyword_ids"
"mofa_100_013436","keyword","DECOL","keyword_ids"
"mofa_100_013436","keyword","DIPLOMATIC_LIAISON","keyword_ids"
"mofa_100_013436","keyword","LIAISON_OFFICER_APPOINTMENT","keyword_ids"
"mofa_100_013436","keyword","PAN_AFRICAN","keyword_ids"
"mofa_100_013436","keyword","POST_CONFERENCE_FOLLOW_UP","keyword_ids"
"mofa_100_013436","keyword","THIRD_WORLD","keyword_ids"
"mofa_100_013436","region","AFRICA","region_ids"
"mofa_100_013436","region","AFRO_ASIA","region_ids"
"mofa_100_013436","region","ASIA","region_ids"
"mofa_100_013436","region","MIDEAST","region_ids"
"mofa_100_013436","region","SOUTH_ASIA","region_ids"
"mofa_100_013436","region","SOUTHEAST_ASIA","region_ids"
"mofa_100_013436","related_organization","AA_CONF_JOINT_SECRETARIAT","related_organization_ids"
"mofa_100_013436","related_organization","INDONESIA_CONSULATE_GENERAL_TOKYO","related_organization_ids"
"mofa_100_013436","related_organization","INDONESIA_MFA","related_organization_ids"
"mofa_100_013436","related_organization","LAS","related_organization_ids"
"mofa_100_013440","analytical_context","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA","analytical_context_ids"
"mofa_100_013440","analytical_context","REGIONAL_SECURITY_IN_SOUTHEAST_ASIA","analytical_context_ids"
"mofa_100_013440","analytical_context","US_ALLIANCE_SYSTEM_IN_ASIA","analytical_context_ids"
"mofa_100_013440","entity","JPN","entity_ids"
"mofa_100_013440","entity","PRC","entity_ids"
"mofa_100_013440","event","BANDUNG_1955","event_ids"
"mofa_100_013440","keyword","BANDUNG_CONFERENCE","keyword_ids"
"mofa_100_013440","keyword","JAPANESE_POSITION","keyword_ids"
"mofa_100_013440","keyword","MILITARY","keyword_ids"
